document_id,file_name,char_count,liability_clause_count,termination_clause_count,indemnification_count,financial_entity_count,percentage_entity_count,liability_clause_density_per_10k,termination_clause_density_per_10k,indemnification_density_per_10k
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.txt,67111,0,24,10,8,1,0.0,3.5761648612001014,1.490068692166709
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.txt,24151,0,1,0,0,0,0.0,0.4140615295432902,0.0
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.txt,228943,0,76,11,14,2,0.0,3.3196035694474166,0.48046893768317883
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.txt,233248,0,37,1,0,1,0.0,1.5862944162436547,0.04287282206063932
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.txt,16870,0,2,0,0,0,0.0,1.1855364552459988,0.0
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.","BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..txt",112447,0,10,0,0,0,0.0,0.8893078516990227,0.0
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement.txt,2010,0,0,0,4,0,0.0,0.0,0.0
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.txt",188674,3,31,7,0,0,0.15900442032288498,1.6430456766698114,0.37101031408673163
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT","BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.txt",37876,1,7,2,2,0,0.26401943183018267,1.8481360228112789,0.5280388636603653
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.txt,57041,0,45,0,0,8,0.0,7.889062253466805,0.0
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.txt,79052,1,16,7,1,3,0.1264990133076962,2.023984212923139,0.8854930931538735
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.txt,32680,0,2,0,0,0,0.0,0.6119951040391677,0.0
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,161626,0,28,0,16,3,0.0,1.732394540482348,0.0
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt",21450,0,1,1,4,2,0.0,0.4662004662004662,0.4662004662004662
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,165322,3,28,1,8,8,0.1814640519713045,1.6936644850655085,0.06048801732376816
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,2819,0,0,0,0,0,0.0,0.0,0.0
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,1707,0,0,0,0,0,0.0,0.0,0.0
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,5327,0,1,0,0,0,0.0,1.8772292096865029,0.0
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.txt,15176,1,3,2,2,0,0.6589351607801792,1.9768054823405377,1.3178703215603584
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,62170,2,14,0,0,0,0.3216985684413704,2.2518899790895928,0.0
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement","CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.txt",335282,0,51,1,0,16,0.0,1.521107604941512,0.029825639312578665
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.txt,27741,0,10,0,2,1,0.0,3.604772719080062,0.0
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.txt,49191,0,32,3,0,0,0.0,6.505255026325954,0.6098676587180581
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,13506,0,5,0,0,0,0.0,3.702058344439508,0.0
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT","Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt",45846,1,14,1,0,0,0.21812153732059503,3.0537015224883306,0.21812153732059503
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.txt,63217,1,16,8,2,0,0.15818529825837988,2.530964772134078,1.265482386067039
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,62324,1,11,1,2,1,0.16045183235992555,1.764970155959181,0.16045183235992555
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,28804,0,3,1,1,0,0.0,1.0415220108318288,0.3471740036106096
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.txt,36602,1,14,1,0,1,0.27320911425605154,3.824927599584722,0.27320911425605154
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,25288,0,4,7,1,2,0.0,1.5817779183802594,2.768111357165454
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,159488,1,32,8,4,8,0.06270064205457464,2.0064205457463884,0.5016051364365971
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,14171,0,9,0,0,1,0.0,6.350998518100346,0.0
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,109014,0,17,11,2,6,0.0,1.5594327334103877,1.0090447098537803
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.txt,12555,1,1,0,0,1,0.7964954201513341,0.7964954201513341,0.0
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,175580,2,30,10,1,13,0.11390818999886092,1.708622849982914,0.5695409499943046
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.txt,8599,0,1,0,0,0,0.0,1.1629259216187928,0.0
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,18104,0,5,0,1,0,0.0,2.761820592134335,0.0
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.txt,64192,1,17,7,12,9,0.15578265204386837,2.6483050847457625,1.0904785643070787
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.txt,82889,0,46,0,0,22,0.0,5.5495904160986385,0.0
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement.txt,47889,0,13,0,0,5,0.0,2.7146108709724572,0.0
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT","ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.txt",45484,0,5,0,2,7,0.0,1.0992876615952862,0.0
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.txt,17300,0,6,1,0,0,0.0,3.468208092485549,0.5780346820809248
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.txt,81926,3,24,8,0,1,0.36618411737421575,2.929472938993726,0.9764909796645753
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,60982,1,6,2,0,10,0.1639828146010298,0.9838968876061789,0.3279656292020596
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,44702,1,15,1,3,2,0.22370363742114446,3.3555545613171667,0.22370363742114446
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,65651,1,23,7,15,2,0.15232060440815828,3.5033739013876404,1.066244230857108
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.txt,30050,1,12,1,0,4,0.33277870216306155,3.9933444259567388,0.33277870216306155
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,11043,2,3,4,0,0,1.811102055600833,2.7166530834012494,3.622204111201666
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.txt,5466,0,0,0,0,0,0.0,0.0,0.0
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.txt,30309,0,6,0,0,7,0.0,1.9796100168266852,0.0
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.txt,6341,0,0,0,5,1,0.0,0.0,0.0
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,26753,0,6,2,8,1,0.0,2.242739132059956,0.747579710686652
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT","FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.txt",37829,0,11,1,8,0,0.0,2.9078220412910727,0.26434745829918843
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.txt,32502,0,7,0,13,0,0.0,2.1537136176235308,0.0
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.txt,40597,0,18,8,1,0,0.0,4.433825159494544,1.9705889597753528
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.txt,1660,0,0,0,3,0,0.0,0.0,0.0
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.txt,20805,0,1,2,6,0,0.0,0.48065368901706323,0.9613073780341265
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.txt,39622,0,13,4,4,9,0.0,3.2810055019938416,1.0095401544596436
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.txt,45234,0,7,0,4,5,0.0,1.547508511296812,0.0
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT,GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.txt,229670,0,31,4,4,34,0.0,1.3497627030086647,0.17416292942047285
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT","GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.txt",5713,0,2,1,2,2,0.0,3.5007876772273763,1.7503938386136881
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.txt,3456,0,0,0,1,1,0.0,0.0,0.0
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.txt,50835,2,6,0,0,3,0.3934297236156192,1.1802891708468575,0.0
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.txt,27015,0,1,0,0,3,0.0,0.37016472330186934,0.0
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.txt,249551,0,58,14,3,3,0.0,2.3241742168935406,0.5610075695949926
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.txt,22288,1,8,1,0,0,0.4486719310839914,3.589375448671931,0.4486719310839914
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).txt,148691,1,23,1,21,6,0.06725356612034353,1.5468320207679012,0.06725356612034353
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement","HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.txt",73685,1,20,2,0,2,0.13571283164823233,2.7142566329646467,0.27142566329646467
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT","HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.txt",30968,0,21,5,1,0,0.0,6.78119349005425,1.6145698785843452
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.txt,11322,1,1,0,0,0,0.8832361773538244,0.8832361773538244,0.0
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.txt,70625,0,16,1,7,8,0.0,2.265486725663717,0.1415929203539823
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,12260,0,0,0,0,3,0.0,0.0,0.0
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.txt,47639,2,15,9,0,4,0.4198240937047377,3.1486807027855326,1.8892084216713199
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT,INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.txt,70664,1,14,1,0,0,0.14151477414242047,1.9812068379938865,0.14151477414242047
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.txt,39588,1,13,0,2,9,0.2526017985248055,3.2838233808224713,0.0
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.txt,23845,0,0,2,0,0,0.0,0.0,0.8387502621094569
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement","INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.txt",8288,0,1,1,0,2,0.0,1.2065637065637065,1.2065637065637065
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.txt,116873,0,26,3,5,6,0.0,2.224636999135814,0.25668888451567085
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT","INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT.txt",37970,0,11,3,0,2,0.0,2.8970239662891757,0.7900974453515933
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.txt,52967,1,12,0,19,19,0.18879679800630583,2.2655615760756698,0.0
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT.txt,15298,0,9,0,0,0,0.0,5.883121976728985,0.0
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT","KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.txt",18403,0,6,0,1,0,0.0,3.260337988371461,0.0
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2","KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2.txt",7600,0,4,0,0,19,0.0,5.263157894736842,0.0
LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.txt,20380,0,5,0,0,0,0.0,2.453385672227674,0.0
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,46255,0,7,3,3,1,0.0,1.5133499081180415,0.6485785320505891
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.txt,54290,0,8,1,2,0,0.0,1.4735678762202984,0.1841959845275373
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.txt,11475,0,0,0,0,7,0.0,0.0,0.0
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.txt,117478,1,21,1,28,22,0.08512232077495362,1.7875687362740256,0.08512232077495362
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.txt,15540,1,3,0,0,0,0.6435006435006434,1.9305019305019304,0.0
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.txt,163199,1,22,2,1,8,0.06127488526277735,1.3480474757811016,0.1225497705255547
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement","Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.txt",73598,1,30,2,0,2,0.13587325742547351,4.0761977227642054,0.27174651485094703
